,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
12096,5.69,5.28,405,2,262,12.0,3.0,81.2,124489765,2035388,4650076,128015455,0,41000000,802,0,60000,126000,tpc
12097,5.69,5.28,405,1,262,10.4,3.1,82.9,124490785,2034768,4649684,128016575,0,48000000,720,0,50000,103000,tpc
12098,5.69,5.28,405,1,262,12.9,2.7,80.8,124490785,2034768,4649684,128016575,0,38000000,660,0,65000,137000,tpc
12099,5.69,5.28,405,1,262,11.4,3.3,81.6,124490785,2034768,4649684,128016575,0,46000000,660,0,52000,109000,tpc
12100,5.64,5.28,405,1,262,11.5,3.6,81.5,124486065,2035044,4654120,128016115,0,48000000,801,0,48000,101000,tpc
12101,5.64,5.28,405,2,262,12.0,3.6,80.9,124486065,2035044,4654120,128016115,0,40000000,1320,0,58000,121000,tpc
12102,5.64,5.28,405,1,262,10.5,2.6,83.4,124486065,2035044,4654120,128016115,0,47000000,600,0,57000,119000,tpc
12103,5.64,5.28,405,1,262,11.3,2.8,82.4,124485935,2035304,4653996,128016075,0,43000000,840,0,55000,115000,tpc
12104,5.64,5.28,405,1,262,12.5,3.4,80.8,124485935,2035304,4653996,128016075,0,42000000,900,0,55000,115000,tpc
12105,5.58,5.27,405,2,262,11.5,3.5,81.5,124485935,2035304,4653996,128016075,0,42000000,960,0,48000,100000,tpc
12106,5.58,5.27,405,1,262,12.4,3.3,80.8,124481665,2035328,4658244,128016065,0,41000000,900,0,56000,117000,tpc
12107,5.58,5.27,405,1,262,9.4,2.5,84.6,124481665,2035328,4658244,128016065,0,43000000,1320,0,54000,112000,tpc
12108,5.58,5.27,405,1,262,10.1,3.0,83.3,124481665,2035328,4658244,128016065,0,47000000,1059,0,58000,123000,tpc
12109,5.58,5.27,405,2,262,10.5,3.5,82.8,124481105,2035704,4658424,128015615,0,44000000,960,0,52000,109000,tpc
12110,5.7,5.3,405,1,262,11.6,3.6,81.3,124481105,2035704,4658424,128015615,0,41000000,840,0,56000,117000,tpc
12111,5.7,5.3,405,2,261,11.3,3.2,81.9,124481105,2035704,4658424,128015615,0,45000000,300,0,55000,116000,tpc
12112,5.7,5.3,405,3,261,12.6,3.7,80.7,124481185,2035724,4658328,128015795,0,43000000,562,0,57000,121000,tpc
12113,5.7,5.3,405,1,262,11.5,3.3,81.8,124481185,2035724,4658328,128015795,0,44000000,660,0,57000,119000,tpc
12114,5.7,5.3,405,1,262,11.3,3.2,82.1,124481185,2035724,4658328,128015795,0,42000000,540,0,60000,125000,tpc
