Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
13.47,12.68,595,5,352,28.4,0.9,70.8,32330468,97018400,1821424,33074380,0,0,3934,0,5552,3180,linpack
13.47,12.68,595,5,352,25.9,3.4,70.7,32330468,97018400,1821424,33074380,0,0,1805,194,5393,2999,linpack
13.47,12.68,595,5,352,28.3,0.9,70.8,32330360,97018352,1821580,33074384,0,312000,1588,0,5362,3021,linpack
13.47,12.68,595,5,352,28.2,1,70.8,32330360,97018352,1821580,33074384,0,40000,1268,0,5309,2930,linpack
13.47,12.68,595,5,352,26.9,2.4,70.7,32330360,97018352,1821580,33074384,0,0,968,0,5288,2849,linpack
13.51,12.71,595,5,352,23.1,6.2,70.8,32330368,97018208,1821724,33074532,0,0,1427,0,5299,2884,linpack
13.51,12.71,595,5,352,28.3,1.1,70.6,32330368,97018208,1821724,33074532,0,0,1344,42,5398,3076,linpack
13.51,12.71,595,5,352,28.2,1.1,70.8,32330368,97018208,1821724,33074532,0,276000,1144,0,5303,2875,linpack
13.51,12.71,595,5,352,26.5,2.8,70.7,32330120,97018280,1821896,33074476,0,24000,2104,0,5446,2996,linpack
13.55,12.73,595,5,352,21.7,7.7,70.7,32330120,97018280,1821896,33074476,0,0,1440,0,5333,2834,linpack
13.55,12.73,595,5,352,26.6,2.7,70.7,32330120,97018280,1821896,33074476,0,0,1080,0,5330,2975,linpack
13.55,12.73,595,5,352,23.1,3.1,73.8,32330864,97017392,1822044,33075388,0,0,900,0,5242,2795,linpack
13.55,12.73,595,5,352,23.1,1.3,75.6,32330864,97017392,1822044,33075388,0,296000,720,0,5224,2790,linpack
13.55,12.73,595,5,352,28.5,0.7,70.8,32330864,97017392,1822044,33075388,0,24000,1104,0,5321,2871,linpack
13.59,12.75,595,5,352,28.5,0.8,70.7,32330876,97017224,1822196,33075512,0,0,682,0,4036,2399,linpack
13.59,12.75,595,5,352,27,2.3,70.8,32330876,97017224,1822196,33075512,0,0,780,0,5259,2857,linpack
13.59,12.75,595,5,352,27.3,2,70.7,32330876,97017224,1822196,33075512,0,0,1080,0,5294,2865,linpack
13.59,12.75,595,5,352,28.4,0.9,70.7,32330760,97017136,1822400,33075604,0,224000,1193,155,5289,2883,linpack
13.59,12.75,595,5,352,28.4,0.8,70.8,32330760,97017136,1822400,33075604,0,28000,922,0,5352,3030,linpack
13.62,12.77,595,5,352,24.7,4.5,70.7,32330760,97017136,1822400,33075604,0,0,1259,0,5290,2868,linpack
13.62,12.77,595,5,352,28,1.2,70.8,32330360,97017352,1822584,33075344,0,0,1144,0,5300,2872,linpack
13.62,12.77,595,5,352,28.2,1.1,70.7,32330360,97017352,1822584,33075344,0,0,1166,0,5303,2901,linpack
13.62,12.77,595,5,352,28.3,0.9,70.8,32330360,97017352,1822584,33075344,0,324000,1084,0,5358,3015,linpack
13.62,12.77,595,5,352,22.2,7,70.7,32330236,97017328,1822732,33075388,0,44000,1493,110,6473,2904,linpack
13.65,12.79,595,5,352,26.3,2.9,70.8,32330236,97017328,1822732,33075388,0,0,1466,0,5287,2860,linpack
13.65,12.79,595,5,352,19.7,5.2,75.1,32330236,97017328,1822732,33075388,0,0,1119,0,5259,2819,linpack
13.65,12.79,595,6,351,15.5,1.9,82.5,32330612,97016800,1822888,33075904,0,0,1080,0,5265,2927,linpack
13.65,12.79,595,5,352,28.4,0.9,70.6,32330612,97016800,1822888,33075904,0,280000,660,0,5270,2819,linpack
13.65,12.79,595,5,352,28.4,0.9,70.8,32330612,97016800,1822888,33075904,0,24000,940,86,4583,2565,linpack
