,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
7603,10.21,10.23,391,1,249,0.1,0.1,74.9,128793535,1226716,1154976,128903105,7856000,4096,856,0,1260,1932,fio
7604,10.21,10.23,391,1,249,0.1,0.1,78.1,128793505,1226720,1155008,128903155,8144000,0,780,0,1303,2014,fio
7605,10.21,10.23,391,1,249,0.1,0.1,79.0,128793505,1226720,1155008,128903155,8256000,172000,960,0,1380,2119,fio
7606,10.21,10.23,391,1,249,0.1,0.1,79.0,128793505,1226720,1155008,128903155,8256000,36000,660,0,1355,2077,fio
7607,10.19,10.23,391,1,249,0.1,0.2,78.9,128793715,1226412,1155112,128903445,8448000,0,540,0,1383,2116,fio
7608,10.19,10.23,391,1,249,0.1,0.0,79.1,128793715,1226412,1155112,128903445,8224000,208000,720,0,1305,2007,fio
7609,10.19,10.23,391,1,249,0.1,0.1,79.0,128793715,1226412,1155112,128903445,8416000,0,480,0,1393,2177,fio
7610,10.19,10.23,391,1,249,0.1,0.1,79.0,128793465,1226544,1155224,128903315,8080000,4096,865,0,1321,2001,fio
7611,10.19,10.23,391,1,249,0.1,0.1,79.0,128793465,1226544,1155224,128903315,8208000,28000,420,0,1321,2042,fio
7612,10.17,10.22,391,1,249,0.1,0.1,76.4,128793465,1226544,1155224,128903315,8288000,0,682,0,1376,2096,fio
7613,10.17,10.22,391,1,249,0.1,0.0,74.9,128793265,1226556,1155408,128903215,8048000,0,420,0,1384,2138,fio
7614,10.17,10.22,391,1,249,0.0,0.1,70.8,128793265,1226556,1155408,128903215,7952000,4096,704,0,1309,1998,fio
7615,10.17,10.22,391,1,249,0.1,0.0,70.7,128793265,1226556,1155408,128903215,8224000,4096,540,87,1322,2043,fio
7616,10.17,10.22,391,1,249,0.2,0.0,70.7,128793165,1226548,1155516,128903235,8080000,204000,802,107,1302,2007,fio
7617,10.24,10.24,391,1,249,0.6,0.2,70.3,128793165,1226548,1155516,128903235,8016000,0,600,0,1308,2041,fio
7618,10.24,10.24,391,1,249,0.0,0.1,74.9,128793165,1226548,1155516,128903235,8448000,40000,682,0,1343,2072,fio
7619,10.24,10.24,391,1,249,0.1,0.0,71.4,128792925,1226640,1155668,128903135,8272000,0,819,0,1321,2026,fio
7620,10.24,10.24,391,1,249,0.1,0.1,72.4,128792925,1226640,1155668,128903135,8176000,204000,780,0,1322,2028,fio
7621,10.24,10.24,391,1,249,0.1,0.1,74.9,128792925,1226640,1155668,128903135,8256000,4096,718,0,1369,2154,fio
7622,10.22,10.23,391,1,249,0.1,0.1,79.0,128792995,1226524,1155720,128903325,8384000,28000,600,152,1404,2141,fio
7623,10.22,10.23,391,1,249,0.1,0.0,76.1,128792995,1226524,1155720,128903325,8496000,0,540,0,1291,2032,fio
7624,10.22,10.23,391,1,249,0.2,0.1,74.8,128792995,1226524,1155720,128903325,8064000,4096,780,0,1277,1957,fio
7625,10.22,10.23,391,1,249,0.1,0.0,74.9,128792995,1226412,1155832,128903445,7920000,4096,1499,0,1317,2033,fio
7626,10.22,10.23,391,1,249,0.1,0.0,73.4,128792995,1226412,1155832,128903445,7984000,208000,600,0,1295,1995,fio
7627,10.28,10.25,391,1,249,0.1,0.1,70.7,128792995,1226412,1155832,128903445,8432000,24000,1008,194,1325,2029,fio
7628,10.28,10.25,391,1,249,0.1,0.0,69.5,128792865,1226436,1155932,128903425,8192000,0,780,0,1269,1970,fio
7629,10.28,10.25,391,1,249,0.1,0.0,70.7,128792865,1226436,1155932,128903425,8416000,0,1079,0,1352,2114,fio
7630,10.28,10.25,391,1,249,0.1,0.1,70.7,128792865,1226436,1155932,128903425,8192000,0,1848,0,1349,1997,fio
7631,10.28,10.25,391,1,249,0.1,0.1,74.6,128792755,1226436,1156048,128903395,8336000,4096,1128,0,1356,2070,fio
7632,10.26,10.24,391,1,249,0.1,0.0,74.0,128792755,1226436,1156048,128903395,7888000,196000,828,152,1298,1978,fio
7633,10.26,10.24,391,1,249,0.1,0.1,70.7,128792755,1226436,1156048,128903395,8080000,0,622,0,1325,2072,fio
7634,10.26,10.24,391,1,249,0.1,0.0,72.9,128792615,1226408,1156208,128903395,7888000,0,844,0,1289,1982,fio
7635,10.26,10.24,391,1,249,0.1,0.1,74.9,128792615,1226408,1156208,128903395,8384000,0,784,0,1308,2029,fio
7636,10.24,10.24,391,1,249,0.1,0.1,73.7,128792495,1226456,1156284,128903335,8336000,0,724,54,1319,2033,fio
7637,10.24,10.24,391,1,249,0.0,0.0,73.6,128792495,1226456,1156284,128903335,8016000,24000,1405,118,1403,2137,fio
7638,10.24,10.24,391,1,249,0.1,0.1,70.7,128792495,1226456,1156284,128903335,8256000,176000,784,0,1324,2029,fio
7639,10.24,10.24,391,1,249,0.1,0.0,70.7,128792365,1226476,1156388,128903325,7760000,0,819,0,1252,1933,fio
7640,10.24,10.24,391,1,249,0.1,0.1,70.7,128792365,1226476,1156388,128903325,7968000,0,840,0,1301,2004,fio
7641,10.22,10.23,391,1,249,0.0,0.1,70.7,128792365,1226476,1156388,128903325,8144000,0,660,0,1323,2081,fio
7642,10.22,10.23,391,1,249,0.1,0.1,70.7,128792415,1226364,1156452,128903485,7984000,200000,1025,395,1420,2148,fio
7643,10.22,10.23,391,1,249,0.1,0.1,70.7,128792415,1226364,1156452,128903485,8144000,4096,720,0,1283,1980,fio
7644,10.22,10.23,391,1,249,0.1,0.0,67.7,128792415,1226364,1156452,128903485,8368000,0,720,0,1297,2018,fio
7645,10.22,10.23,391,1,249,0.0,0.1,66.6,128792295,1226380,1156556,128903425,8160000,0,600,0,1347,2115,fio
7646,10.2,10.23,391,1,249,0.1,0.1,66.6,128792295,1226380,1156556,128903425,8176000,0,480,0,1283,2010,fio
7647,10.2,10.23,391,1,249,0.1,0.1,66.5,128792295,1226380,1156556,128903425,8080000,200000,420,0,1243,1950,fio
