,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
2927,20.99,9.25,404,3,258,99.8,0.1,0.1,121731425,7717764,1726048,122377955,0,0,780,0,8224,4875,mlc
2928,21.23,9.49,404,3,258,70.4,1.3,28.3,121730245,7718808,1726188,122376855,0,0,1312,0,8917,5016,mlc
2929,21.23,9.49,404,1,259,4.7,0.4,94.9,121730245,7718808,1726188,122376855,0,216000,616,0,8227,4999,mlc
2930,21.23,9.49,404,1,259,4.5,0.1,95.4,127385605,2063400,1726236,128032385,0,0,660,0,8527,5847,mlc
2931,21.23,9.49,404,1,259,6.9,0.2,93.0,127385605,2063400,1726236,128032385,0,0,876,0,8191,4844,mlc
2932,19.69,9.37,404,1,259,9.0,0.1,90.9,127385605,2063400,1726236,128032385,0,44000,1264,0,8283,4833,mlc
2933,19.69,9.37,404,1,259,8.9,0.1,91.0,127388115,2060748,1726372,128034955,0,0,816,0,3363,3189,mlc
2934,19.69,9.37,404,1,259,6.7,0.4,92.9,127388115,2060748,1726372,128034955,0,236000,699,0,1794,2500,mlc
2935,19.69,9.37,404,1,259,4.4,0.2,95.4,127388115,2060748,1726372,128034955,0,0,660,0,1247,1583,mlc
2936,19.69,9.37,404,1,259,5.7,0.2,94.1,127285175,2163516,1726540,127932185,0,0,502,0,1611,1646,mlc
2937,18.44,9.28,404,1,259,8.6,0.1,91.2,127285175,2163516,1726540,127932185,0,28000,840,0,2711,3328,mlc
2938,18.44,9.28,404,2,258,4.6,0.9,94.5,127285175,2163516,1726540,127932185,0,0,900,0,1844,1902,mlc
2939,18.44,9.28,404,2,258,4.8,0.2,95.0,126758845,2689332,1727060,127405965,0,0,660,0,1236,1617,mlc
2940,18.44,9.28,404,1,259,4.7,0.2,95.2,126758845,2689332,1727060,127405965,0,236000,720,0,1598,2160,mlc
2941,18.44,9.28,404,1,259,4.4,0.1,95.5,126758845,2689332,1727060,127405965,0,0,840,0,2066,2494,mlc
2942,17.04,9.14,404,1,259,6.8,0.0,93.2,126759365,2689140,1726736,127406605,0,44000,540,0,1724,1875,mlc
2943,17.04,9.14,404,1,259,9.0,0.2,90.8,126759365,2689140,1726736,127406605,0,0,480,0,1253,1635,mlc
2944,17.04,9.14,404,1,259,8.7,0.1,91.2,126759365,2689140,1726736,127406605,0,0,780,0,2218,3062,mlc
2945,17.04,9.14,404,2,258,6.4,1.1,92.5,126264955,3183448,1726832,126912255,0,232000,960,0,1236,1599,mlc
2946,17.04,9.14,404,2,258,4.9,0.2,94.9,126264955,3183448,1726832,126912255,0,0,600,0,1197,1580,mlc
2947,15.75,9.0,404,1,259,4.4,0.1,95.5,126264955,3183448,1726832,126912255,0,28000,540,0,1916,2399,mlc
2948,15.75,9.0,404,1,259,4.5,0.0,95.5,126231465,3216820,1726948,126878885,0,0,1044,0,2099,2582,mlc
2949,15.75,9.0,404,1,259,4.7,0.2,95.1,126231465,3216820,1726948,126878885,0,0,780,0,1527,1675,mlc
